ID Furnace 1	Tag Furnace 1	Is DC EAF Fce	Is Twin Shell	Is Substation App	Tag Furnace 2	Is DC EAF Fce	Plant Short Name	Division Short Name	Corporate Short Name	Corporate Full Name	Plant Location	Time Zone A - Date & Time Starts	Time Zone A - Date & Time Finish	Time Zone A - Designated Time	HoraEjecucionPlanta	ArchivoCCR	IE_VM2 Parametros	IE_VM2 Remove Extreme Data (Outliers)	IE_VM2 IDPlant	IE_VM2 IDFurnace	IE_VM2 Start Date (New - Older)	parant	difp	fec	diff	OutliersAnt	difo
East	E	FALSE	TRUE	FALSE	tbd	FALSE	SSAB	SSAB	SSAB	SSAB	"Axis, Alabama, USA (CST)"	42442	42680	UTC-05:00	0	ccr_SSAB Alabama East Shell.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 90
 AND TapToTap < 250
 AND Turnaround BETWEEN 3.3 AND 200
 AND MWH BETWEEN 50 AND 90
 ORDER BY TimeStarted"	FALSE	73	93	2015-07-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 90
 AND TapToTap < 250
 AND Turnaround BETWEEN 3.3 AND 200
 AND MWH BETWEEN 50 AND 90
 ORDER BY TimeStarted"	TRUE	2015-07-01	TRUE	FALSE	TRUE
West	W	FALSE	TRUE	FALSE	tbd	FALSE	SSAB	SSAB	SSAB	SSAB	"Axis, Alabama, USA (CST)"	42442	42680	UTC-05:00	0	ccr_SSAB Alabama West Shell.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 90
 AND TapToTap < 250
 AND Turnaround BETWEEN 3.3 AND 200
 AND MWH BETWEEN 50 AND 90
 ORDER BY TimeStarted"	FALSE	73	94	2015-07-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 90
 AND TapToTap < 250
 AND Turnaround BETWEEN 3.3 AND 200
 AND MWH BETWEEN 50 AND 90
 ORDER BY TimeStarted"	TRUE	2015-07-01	TRUE	FALSE	TRUE
South	S	FALSE	TRUE	FALSE	tbd	FALSE	NSBS	tbd	NSBS	North Star Bluescope Steel	"Delta, Ohio, USA (EST)"	42442	42680	UTC-04:00	23	ccr_NSBS South.xls	"WHERE TapToTap BETWEEN 45 AND 175
 AND Turnaround BETWEEN 2 AND 100
 AND MWH BETWEEN 46 AND 80
 ORDER BY TimeStarted"	FALSE	74	95	2019-01-01	"WHERE TapToTap BETWEEN 45 AND 175
 AND Turnaround BETWEEN 2 AND 100
 AND MWH BETWEEN 46 AND 80
 ORDER BY TimeStarted"	TRUE	2019-01-01	TRUE	FALSE	TRUE
North	N	FALSE	TRUE	FALSE	tbd	FALSE	NSBS	tbd	NSBS	North Star Bluescope Steel	"Delta, Ohio, USA (EST)"	42442	42680	UTC-04:00	23	ccr_NSBS North.xls	"WHERE TapToTap BETWEEN 45 AND 175
 AND Turnaround BETWEEN 2 AND 100
 AND MWH BETWEEN 46 AND 80
 ORDER BY TimeStarted"	FALSE	74	96	2019-01-01	"WHERE TapToTap BETWEEN 45 AND 175
 AND Turnaround BETWEEN 2 AND 100
 AND MWH BETWEEN 46 AND 80
 ORDER BY TimeStarted"	TRUE	2019-01-01	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		KWT	KWT	US	KWT Steel	"Ahmadi, Kuwait"			UTC+03:00	15	ccr_KWTSteel EAF.xls	"WHERE  Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 90
 AND TapToTap < 200
 AND Turnaround BETWEEN 2.5 AND 50
 AND MWH BETWEEN 50 AND 90
 ORDER BY TimeStarted"	FALSE	75	97	2017-03-01	"WHERE  Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 90
 AND TapToTap < 200
 AND Turnaround BETWEEN 2.5 AND 50
 AND MWH BETWEEN 50 AND 90
 ORDER BY TimeStarted"	TRUE	2017-03-01	TRUE	FALSE	TRUE
EAFdc	EAFdc	TRUE	FALSE	FALSE	tbd	FALSE	HHAL	HHAL	HHAL	Hellenic Halyvourgia	Greece	42456	42673	UTC+02:00	17	ccr_Hellenic Halyvourgia.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 70
 AND TapToTap BETWEEN 30 AND 130
 AND Turnaround BETWEEN 2 AND 150
 AND MWH BETWEEN 20 AND 60
 ORDER BY TimeStarted"	FALSE	81	105	2019-01-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 70
 AND TapToTap BETWEEN 30 AND 130
 AND Turnaround BETWEEN 2 AND 150
 AND MWH BETWEEN 20 AND 60
 ORDER BY TimeStarted"	TRUE	2019-01-01	TRUE	FALSE	TRUE
SUB	Sub	FALSE	FALSE	TRUE	tbd		KWT	KWT	US	KWT Steel	"Ahmadi, Kuwait"			UTC+03:00	15	ccr_KWTSteel Substation.xls	"WHERE  Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 20 AND 90
 AND TapToTap < 250
 AND Turnaround BETWEEN 2.5 AND 120
 AND MWH BETWEEN 20 AND 90
 ORDER BY TimeStarted"	FALSE	75	112	2017-03-01	"WHERE  Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 20 AND 90
 AND TapToTap < 250
 AND Turnaround BETWEEN 2.5 AND 120
 AND MWH BETWEEN 20 AND 90
 ORDER BY TimeStarted"	TRUE	2017-03-01	TRUE	FALSE	TRUE
EAFdc	EAFdc	TRUE	FALSE	FALSE	tbd	FALSE	YAMS	YAMS	YS	Yamato Steel	"Himeji, Japan"			UTC+09:00	9	ccr_Yamato Steel.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 70
 AND TapToTap BETWEEN 30 AND 100
 AND Turnaround BETWEEN 2 AND 150
 AND MWH BETWEEN 30 AND 100
 ORDER BY TimeStarted"	FALSE	85	113	2017-03-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 70
 AND TapToTap BETWEEN 30 AND 100
 AND Turnaround BETWEEN 2 AND 150
 AND MWH BETWEEN 30 AND 100
 ORDER BY TimeStarted"	TRUE	2017-03-01	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		SC	TBD	CMC	CMC Steel	"Cayce, SC, USA (CST)"	42807	43045	UTC-05:00	0	ccr_CMC Steel South Carolina.xls	"WHERE PwrOn BETWEEN 25 AND 55
 AND TapToTap BETWEEN 26 AND 100
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 20 AND 47
 ORDER BY TimeStarted"	FALSE	86	114	2017-03-11	"WHERE PwrOn BETWEEN 25 AND 55
 AND TapToTap BETWEEN 26 AND 100
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 20 AND 47
 ORDER BY TimeStarted"	TRUE	2017-03-11	TRUE	FALSE	TRUE
F4	4	FALSE	FALSE	FALSE	tbd		Regina	Regina	Evraz	Evraz	"Regina, Canada (CST)"	42442	42680	UTC-05:00	0	ccr_Evraz Regina EAF 4.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 35 AND 100
 AND TapToTap BETWEEN 50 AND 400
 AND Turnaround BETWEEN 2 AND 300
 AND MWH BETWEEN 36 AND 80
 ORDER BY TimeStarted"	FALSE	87	115	2020-01-02	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 35 AND 100
 AND TapToTap BETWEEN 50 AND 400
 AND Turnaround BETWEEN 2 AND 300
 AND MWH BETWEEN 36 AND 80
 ORDER BY TimeStarted"	TRUE	2019-01-02	FALSE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd	FALSE	TENKOP	TENUSA	TEN	Tenaris	"Beaver Falls, PA, USA (CST)"	42442	42680	UTC-05:00	0	ccr_Tenaris Koppel.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 30 AND 60
 AND TapToTap < 120
 AND Turnaround BETWEEN 3 AND 150
 AND MWH BETWEEN 25 AND 43
 ORDER BY TimeStarted"	FALSE	91	122	2020-01-02	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 30 AND 60
 AND TapToTap < 120
 AND Turnaround BETWEEN 3 AND 150
 AND MWH BETWEEN 25 AND 43
 ORDER BY TimeStarted"	TRUE	2019-01-02	FALSE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		ALLSVK	ALLSVK	ALL	Alleima	Sandviken. Sweden (Hora Central Europea)	42807	43045	UTC+01:00	16	ccr_Alleima Sandviken EAF.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 69
 AND TapToTap BETWEEN 50 AND 160
 AND Turnaround BETWEEN 1.5 AND 120
 AND MWH BETWEEN 30 AND 48
 ORDER BY TimeStarted"	FALSE	92	123	2019-01-02	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 69
 AND TapToTap BETWEEN 50 AND 160
 AND Turnaround BETWEEN 1.5 AND 120
 AND MWH BETWEEN 30 AND 48
 ORDER BY TimeStarted"	TRUE	2018-01-01	FALSE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		Pitts	Pitts	SDI	Steel Dynamics Inc	"Pittsboro, IN. USA (EST)"	42442	42680	UTC-04:00	23	ccr_SDI Pittsboro.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 32 AND 60
 AND TapToTap BETWEEN 30 AND 100
 AND Turnaround BETWEEN 1 AND 80
 AND MWH BETWEEN 25 AND 60
 ORDER BY TimeStarted"	FALSE	93	124	2017-04-12	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 32 AND 60
 AND TapToTap BETWEEN 30 AND 100
 AND Turnaround BETWEEN 1 AND 80
 AND MWH BETWEEN 25 AND 60
 ORDER BY TimeStarted"	TRUE	2017-04-12	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		StdS	StdS	StdS	Standard Steel	"Burnham, PA, USA (CST)"	42442	42680	UTC-05:00	0	ccr_Standard Steel.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 50 AND 76
 AND TapToTap  < 200
 AND Turnaround BETWEEN 4 AND 100
 AND MWH BETWEEN 28 AND 40
 ORDER BY TimeStarted"	FALSE	94	127	2020-01-02	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 50 AND 76
 AND TapToTap  < 200
 AND Turnaround BETWEEN 4 AND 100
 AND MWH BETWEEN 28 AND 40
 ORDER BY TimeStarted"	TRUE	2019-01-01	FALSE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd	FALSE	YKS	YKS	YS	Yamato Steel	"Busan, South Korea"			UTC+09:00	9	ccr_Yamato Korea Steel.xls	"WHERE PwrOn BETWEEN 20 AND 55
 AND TapToTap BETWEEN 30 AND 80
 AND Turnaround BETWEEN 1.5 AND 100
 AND MWH BETWEEN 25 AND 60
 ORDER BY TimeStarted"	FALSE	96	129	2017-09-13	"WHERE PwrOn BETWEEN 20 AND 55
 AND TapToTap BETWEEN 30 AND 80
 AND Turnaround BETWEEN 1.5 AND 100
 AND MWH BETWEEN 25 AND 60
 ORDER BY TimeStarted"	TRUE	2017-09-13	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		POL	Europe	CMC	CMC Steel	"Zawiercie, Poland"	42820	43037	UTC+01:00	16	ccr_CMC Poland.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 54
 AND TapToTap BETWEEN 25 AND 140
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 30 AND 65
 ORDER BY TimeStarted"	FALSE	97	130	2020-08-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 54
 AND TapToTap BETWEEN 25 AND 140
 AND Turnaround BETWEEN 1 AND 100
 AND MWH BETWEEN 30 AND 65
 ORDER BY TimeStarted"	TRUE	2018-01-01	FALSE	FALSE	TRUE
SYS1	1	FALSE	FALSE	FALSE	tbd	FALSE	SYS	SYS	YS	Yamato Steel	"Bangkok, Tailand"			UTC+07:00	11	ccr_Siam Yamato Steel 1.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 15 AND 60
 AND TapToTap BETWEEN 25 AND 150
 AND Turnaround BETWEEN 1.5 AND 160
 AND MWH BETWEEN 12.5 AND 60
 ORDER BY TimeStarted"	FALSE	98	131	2019-01-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 15 AND 60
 AND TapToTap BETWEEN 25 AND 150
 AND Turnaround BETWEEN 1.5 AND 160
 AND MWH BETWEEN 12.5 AND 60
 ORDER BY TimeStarted"	TRUE	2017-09-22	FALSE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		Butler	AKS	AKS	AK Steel	"Butler, PA, USA (CST)"	42442	42680	UTC-05:00	0	ccr_AK Steel Butler.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 45
 AND TapToTap < 300
 AND Turnaround BETWEEN 1 AND 150
 AND MWH BETWEEN 30 AND 110
 ORDER BY TimeStarted"	FALSE	100	133	2017-11-10	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 25 AND 45
 AND TapToTap < 300
 AND Turnaround BETWEEN 1 AND 150
 AND MWH BETWEEN 30 AND 110
 ORDER BY TimeStarted"	TRUE	2017-11-10	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		FinklCH	USACH	Finkl	Finkl Steel	"Chicago, Ilinois, USA (CST)"	42442	42680	UTC-05:00	0	ccr_Finkl Steel.xls	"WHERE Samples_Lost_PowerOn < 5
  AND PwrOn BETWEEN 30 AND 120
  AND TapToTap < 280
  AND Turnaround BETWEEN 1 AND 90
  AND MWH BETWEEN 20 AND 50
 ORDER BY TimeStarted"	FALSE	103	136	2018-04-23	"WHERE Samples_Lost_PowerOn < 5
  AND PwrOn BETWEEN 30 AND 120
  AND TapToTap < 280
  AND Turnaround BETWEEN 1 AND 90
  AND MWH BETWEEN 20 AND 50
 ORDER BY TimeStarted"	TRUE	2018-04-23	TRUE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		CTLatrobe	CTLatrobe	CT	Carpenter Technology	"Latrobe, Pensilvania, USA (EST)"	42442	42680	UTC-04:00	23	ccr_Carpenter Latrobe.xls	"WHERE Samples_Lost_PowerOn < 5
 AND TapToTap BETWEEN 60 AND 400
 AND Turnaround BETWEEN 2.5 AND 110
 AND MWH BETWEEN 10 AND 22
 ORDER BY TimeStarted"	FALSE	104	137	2018-07-12	"WHERE Samples_Lost_PowerOn < 5
 AND TapToTap BETWEEN 60 AND 400
 AND Turnaround BETWEEN 2.5 AND 110
 AND MWH BETWEEN 10 AND 22
 ORDER BY TimeStarted"	TRUE	2018-07-12	TRUE	FALSE	TRUE
F5	5	FALSE	FALSE	FALSE	tbd		Regina	Regina	Evraz	Evraz	"Regina, Canada (CST)"	42442	42680	UTC-05:00	0	ccr_Evraz Regina EAF 5.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 35 AND 100
 AND TapToTap BETWEEN 50 AND 400
 AND Turnaround BETWEEN 2 AND 300
 AND MWH BETWEEN 36 AND 80
 ORDER BY TimeStarted"	FALSE	87	138	2020-01-02	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 35 AND 100
 AND TapToTap BETWEEN 50 AND 400
 AND Turnaround BETWEEN 2 AND 300
 AND MWH BETWEEN 36 AND 80
 ORDER BY TimeStarted"	TRUE	2019-01-02	FALSE	FALSE	TRUE
SYS2	2	FALSE	FALSE	FALSE	tbd	FALSE	SYS	SYS	YS	Yamato Steel	"Bangkok, Tailand"			UTC+07:00	11	ccr_Siam Yamato Steel 2.xls	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 15 AND 60
 AND TapToTap BETWEEN 25 AND 150
 AND Turnaround BETWEEN 1.5 AND 160
 AND MWH BETWEEN 12.5 AND 60
 ORDER BY TimeStarted"	FALSE	98	139	2019-01-01	"WHERE Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 15 AND 60
 AND TapToTap BETWEEN 25 AND 150
 AND Turnaround BETWEEN 1.5 AND 160
 AND MWH BETWEEN 12.5 AND 60
 ORDER BY TimeStarted"	TRUE	2018-04-25	FALSE	FALSE	TRUE
EAF	EAF	FALSE	FALSE	FALSE	tbd		oHofors	oSWE	Ovako	Ovako	"Hofors, Sweden"	43170	43408	UTC+02:00	17	ccr_Ovako Hofors.xls	"WHERE  Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 20 AND 90
 AND TapToTap < 275
 AND Turnaround BETWEEN 1 AND 250
 AND MWH BETWEEN 20 AND 90
ORDER BY TimeStarted"	FALSE	106	141	2020-01-02	"WHERE  Samples_Lost_PowerOn < 5
 AND PwrOn BETWEEN 20 AND 90
 AND TapToTap < 275
 AND Turnaround BETWEEN 1 AND 250
 AND MWH BETWEEN 20 AND 90
ORDER BY TimeStarted"	TRUE	2018-05-24	FALSE	FALSE	TRUE
F1	1	FALSE	FALSE	FALSE	tbd		NASGhent	NASGhent	NAS	North American Stainless	"Ghent, KY USA (EST)"	42442	42680	UTC-04:00	23	ccr_NAS Ghent F1.xls	"WHERE Samples_Lost_PowerOn < 5
  AND PwrOn BETWEEN 40 AND 140
  AND TapToTap BETWEEN 50 AND 350
  AND Turnaround BETWEEN 1 AND 100
  AND MWH BETWEEN 50 AND 135
 ORDER BY TimeStarted"	FALSE	11	143	2018-10-04	"WHERE Samples_Lost_PowerOn < 5
  AND PwrOn BETWEEN 40 AND 140
  AND TapToTap BETWEEN 50 AND 350
  AND Turnaround BETWEEN 1 AND 100
  AND MWH BETWEEN 50 AND 135
 ORDER BY TimeStarted"	TRUE	2018-10-04	TRUE	FALSE	TRUE
